title,firstname,middlename,lastname,name_suffix,nickname,party,state,district,in_office,gender,phone,fax,website,webform,congress_office,bioguide_id,votesmart_id,fec_id,govtrack_id,crp_id,twitter_id,congresspedia_url,youtube_url,facebook_id,official_rss,senate_class,birthdate
Sen,Kelly,A ,Ayotte,,,R,NH,Junior Seat,1,F,202-224-3324,,http://www.ayotte.senate.gov,http://www.ayotte.senate.gov/?p=contact,144 Russell Senate Office Building,A000368,42352,S0NH00235,412493,N00030980,,http://www.opencongress.org/wiki/Kelly_Ayotte,http://youtube.com/SenatorAyotte,123436097729198,,III,1968-06-27
Rep,Mark,E.,Amodei,,,R,NV,2,1,M,202-225-6155,202-225-5679,http://amodei.house.gov,https://amodei.house.gov/contact-me,222 Cannon House Office Building,A000369,12537,H2NV02395,412500,N00031177,MarkAmodeiNV2,http://www.opencongress.org/wiki/Mark_Amodei,http://youtube.com/markamodeinv2,307227745970624,,,1958-06-12
Rep,Spencer,Thomas,Bachus,III,,R,AL,6,1,M,202-225-4921,202-225-2082,http://bachus.house.gov,http://www.house.gov/writerep/,2246 Rayburn House Office Building,B000013,26715,H2AL06035,400010,N00008091,BachusAL06,http://www.opencongress.org/wiki/Spencer_Bachus,http://youtube.com/congressmanbachus,6769692966,,,1947-12-28
Rep,Richard,Hugh,Baker,,,R,LA,6,0,M,,,http://baker.house.gov,,,B000072,26882,H6LA06083,400012,N00005407,,http://www.opencongress.org/wiki/Richard_Baker,,,,,1948-05-22
Rep,Roscoe,G.,Bartlett,,,R,MD,6,0,M,202-225-2721,202-225-2193,http://bartlett.house.gov,http://www.bartlett.house.gov/Email_Roscoe/,2412 Rayburn House Office Building,B000208,26891,H2MD06054,400017,N00002017,,http://www.opencongress.org/wiki/Roscoe_Bartlett,http://youtube.com/RepRoscoeBartlett,roscoebartlett,,,1926-06-03
Rep,Joe,Linus,Barton,,,R,TX,6,1,M,202-225-2002,202-225-3052,http://joebarton.house.gov,https://forms.house.gov/barton/webforms/zip_authen.html,2107 Rayburn House Office Building,B000213,27082,H4TX06117,400018,N00005656,RepJoeBarton,http://www.opencongress.org/wiki/Joe_Barton,http://youtube.com/repjoebarton,15617630596,,,1949-09-15
Rep,Charles,F.,Bass,,Charlie,R,NH,2,0,M,202-225-5206,202-225-2946,http://bass.house.gov/,,2350 Rayburn House Office Building,B000220,22216,H0NH02017,400019,N00000423,RepCharlesBass,http://www.opencongress.org/wiki/Charlie_Bass,http://youtube.com/RepCharlesBass,120969677973134,,,1952-01-08
Sen,Max,S.,Baucus,,,D,MT,Senior Seat,1,M,202-224-2651,202-224-0515,http://www.baucus.senate.gov,http://www.baucus.senate.gov/contact/emailForm.cfm?subj=issue,511 Hart Senate Office Building,B000243,53315,S8MT00010,300005,N00004643,,http://www.opencongress.org/wiki/Max_Baucus,http://youtube.com/SenatorBaucus,,,II,1941-12-11
Rep,Xavier,,Becerra,,,D,CA,34,1,M,202-225-6235,202-225-2202,http://becerra.house.gov,https://forms.house.gov/becerra/webforms/issue_subscribe.html,1226 Longworth House Office Building,B000287,26754,H2CA30143,400021,N00009774,RepBecerra,http://www.opencongress.org/wiki/Xavier_Becerra,http://youtube.com/XavierBecerra,90311772229,,,1958-01-26
Sen,Robert,F.,Bennett,,Bob,R,UT,Junior Seat,0,M,,,http://bennett.senate.gov,,,B000382,53351,S2UT00104,300007,N00006347,,http://www.opencongress.org/wiki/Robert_Bennett,http://youtube.com/SenatorBennett,,,III,1933-09-18
Rep,Howard,L.,Berman,,,D,CA,28,0,M,202-225-4695,202-225-3196,http://www.house.gov/berman,http://www.house.gov/berman/contact/,2221 Rayburn House Office Building,B000410,26756,H2CA26026,400025,N00008094,RepHowardBerman,http://www.opencongress.org/wiki/Howard_Berman,http://youtube.com/RepHowardBerman,RepHowardBerman,,,1941-04-15
Rep,Robert,Marion,Berry,,Marion,D,AR,1,0,M,,,http://www.house.gov/berry/,,,B000420,430,H6AR01072,400026,N00005455,,http://www.opencongress.org/wiki/Robert_Marion_Berry,http://youtube.com/CongressmanBerry,,,,1942-08-27
Sen,Joseph,R.,Biden,Jr.,,D,DE,Senior Seat,0,M,,,http://biden.senate.gov,,,B000444,53279,S8DE00012,300008,N00001669,joebiden,http://www.opencongress.org/wiki/Joseph_Biden,,,,II,1942-11-20
Rep,Brian,P.,Bilbray,,,R,CA,50,0,M,202-225-0508,202-225-2558,http://www.house.gov/bilbray,http://www.house.gov/bilbray/contact.shtml,2410 Rayburn House Office Building,B000461,21916,H4CA49032,400570,N00006981,BilbrayCA50,http://www.opencongress.org/wiki/Brian_Bilbray,http://youtube.com/CongressmanBilbray,CongressmanBilbray,,,1951-01-28
Sen,Jeff,,Bingaman,,,D,NM,Senior Seat,0,M,202-224-5521,202-224-2852,http://bingaman.senate.gov,http://www.bingaman.senate.gov/contact/,703 Hart Senate Office Building,B000468,53326,S2NM00021,300009,N00006518,,http://www.opencongress.org/wiki/Jeff_Bingaman,http://youtube.com/SenJeffBingaman,jeffbingaman,,I,1943-10-03
Rep,Sanford,D.,Bishop,Jr.,,D,GA,2,1,M,202-225-3631,202-225-2203,http://bishop.house.gov,http://bishop.house.gov/contact-me/email-me,2429 Rayburn House Office Building,B000490,26817,H2GA02031,400030,N00002674,SanfordBishop,http://www.opencongress.org/wiki/Sanford_Bishop,http://youtube.com/RepSanfordBishop,366739521606,,,1947-02-04
Rep,Earl,,Blumenauer,,,D,OR,3,1,M,202-225-4811,202-225-8941,http://blumenauer.house.gov,https://forms.house.gov/blumenauer/webforms/issue_subscribe.html,1111 Longworth House Office Building,B000574,367,H6OR03064,400033,N00007727,BlumenauerMedia,http://www.opencongress.org/wiki/Earl_Blumenauer,http://youtube.com/RepBlumenauer,,,,1948-08-16
Sen,Roy,,Blunt,,,R,MO,Junior Seat,1,M,202-224-5721,202-224-8149,http://www.blunt.senate.gov,http://www.blunt.senate.gov/public/index.cfm/contact-form?p=contact-roy,260 Russell Senate Office Building,B000575,418,H6MO07128,400034,N00005195,RoyBlunt,http://www.opencongress.org/wiki/Roy_Blunt,http://youtube.com/SenatorBlunt,142473042477322,,III,1950-01-10
Rep,John,A.,Boehner,,,R,OH,8,1,M,202-225-6205,202-225-0704,http://johnboehner.house.gov,http://www.johnboehner.house.gov/Contact/,1011 Longworth House Office Building,B000589,27015,H0OH08029,400036,N00003675,SpeakerBoehner,http://www.opencongress.org/wiki/John_Boehner,http://youtube.com/johnboehner,,,,1949-11-17
Sen,Christopher,S.,Bond,,Kit,R,MO,Senior Seat,0,M,,,http://bond.senate.gov,,,B000611,53313,S6MO00289,300010,N00005178,,http://www.opencongress.org/wiki/Christopher_Bond,http://youtube.com/CSBondMO,,,III,1939-03-06
Rep,Leonard,L.,Boswell,,,D,IA,3,0,M,202-225-3806,202-225-5608,http://boswell.house.gov,http://boswell.house.gov/messageform.htm,1026 Longworth House Office Building,B000652,384,H6IA03144,400042,N00004208,LeonardBoswell,http://www.opencongress.org/wiki/Leonard_Boswell,http://youtube.com/RepLeonardBoswell,leonard.boswell,,,1934-01-10
Rep,Frederick,C.,Boucher,,Rick,D,VA,9,0,M,,,http://www.boucher.house.gov,,,B000657,27119,H2VA09010,400043,N00002171,,http://www.opencongress.org/wiki/Frederick_Boucher,,,,,1946-08-01
Sen,Barbara,,Boxer,,,D,CA,Junior Seat,1,F,202-224-3553,202-224-0454,http://www.boxer.senate.gov,http://www.boxer.senate.gov/en/contact/,112 Hart Senate Office Building,B000711,53274,S2CA00286,300011,N00006692,SenatorBoxer,http://www.opencongress.org/wiki/Barbara_Boxer,http://youtube.com/SenatorBoxer,116513005087055,,III,1940-11-11
Rep,Allen,,Boyd,Jr.,,D,FL,2,0,M,,,http://boyd.house.gov,,,B000716,729,H6FL00046,400044,N00002743,,http://www.opencongress.org/wiki/Allen_Boyd,,,,,1945-06-06
Rep,Kevin,P.,Brady,,,R,TX,8,1,M,202-225-4901,202-225-5524,http://kevinbrady.house.gov,http://kevinbrady.house.gov/contact-kevin/,301 Cannon House Office Building,B000755,361,H6TX08100,400046,N00005883,RepKevinBrady,http://www.opencongress.org/wiki/Kevin_Brady,http://youtube.com/KBrady8,9307301412,,,1955-04-11
Rep,Corrine,,Brown,,,D,FL,5,1,F,202-225-0123,202-225-2256,http://corrinebrown.house.gov,https://forms.house.gov/corrinebrown/webforms/contact-me.shtml,2111 Rayburn House Office Building,B000911,26797,H2FL03056,400048,N00002713,RepCorrineBrown,http://www.opencongress.org/wiki/Corrine_Brown,http://youtube.com/CongresswomanBrown,179120958813519,,,1946-11-11
Sen,Sherrod,C.,Brown,,,D,OH,Senior Seat,1,M,202-224-2315,202-228-6321,http://www.brown.senate.gov,http://www.brown.senate.gov/contact/,713 Hart Senate Office Building,B000944,27018,H2OH13033,400050,N00003535,SenSherrodBrown,http://www.opencongress.org/wiki/Sherrod_Brown,http://youtube.com/SherrodBrownOhio,,,I,1952-11-09
Sen,Samuel,D.,Brownback,,Sam,R,KS,Senior Seat,0,M,,,http://brownback.senate.gov,,,B000953,21952,S6KS00122,300013,N00005244,SenSamBrownback,http://www.opencongress.org/wiki/Samuel_Brownback,http://youtube.com/SenatorSamBrownback,,,III,1956-09-12
Sen,Jim,,Bunning,,,R,KY,Junior Seat,0,M,,,http://bunning.senate.gov,,,B001066,26874,S8KY00118,300014,N00003437,,http://www.opencongress.org/wiki/Jim_Bunning,http://youtube.com/SenJimBunning,,,III,1931-10-23
Sen,Richard,M.,Burr,,,R,NC,Senior Seat,1,M,202-224-3154,202-228-2981,http://www.burr.senate.gov,http://www.burr.senate.gov/public/index.cfm?FuseAction=Contact.ContactForm,217 Russell Senate Office Building,B001135,21787,S4NC00089,400054,N00002221,SenatorBurr,http://www.opencongress.org/wiki/Richard_Burr,http://youtube.com/SenatorRichardBurr,132653626787856,,III,1955-11-30
Rep,Dan,L.,Burton,,,R,IN,5,0,M,202-225-2276,202-225-0016,http://burton.house.gov,http://burton.house.gov/contacts/new,2308 Rayburn House Office Building,B001149,26855,H2IN06023,400055,N00000010,RepDanBurton,http://www.opencongress.org/wiki/Dan_Burton,http://youtube.com/CongressmanDanBurton,congressmandanburton,,,1938-06-21
Rep,Stephen,E.,Buyer,,Steve,R,IN,4,0,M,,,http://stevebuyer.house.gov,,,B001203,26854,H2IN05025,400056,N00003924,,http://www.opencongress.org/wiki/Stephen_Buyer,http://youtube.com/sbuyer,,,,1958-11-26
Sen,Robert,C.,Byrd,,,D,WV,Senior Seat,0,M,,,http://byrd.senate.gov,,,B001210,53359,S6WV00014,300016,N00002200,,http://www.opencongress.org/wiki/Robert_Byrd,,,,I,1917-11-20
Rep,Robert,A.,Brady,,Bob,D,PA,1,1,M,202-225-4731,202-225-0088,http://www.brady.house.gov,http://www.brady.house.gov/contact-me/email-me,102 Cannon House Office Building,B001227,2519,H8PA01153,400047,N00001619,RepBrady,http://www.opencongress.org/wiki/Robert_Brady,http://youtube.com/BradyPA01,118845109487,,,1945-04-07
Rep,Mary,Whitaker,Bono Mack,,,R,CA,45,0,F,202-225-5330,202-225-2961,http://bono.house.gov,http://www.house.gov/formbono/issue.htm,104 Cannon House Office Building,B001228,1434,H8CA44034,400039,N00007068,MaryBonoMack,http://www.opencongress.org/wiki/Mary_Bono_Mack,http://youtube.com/BonoMackCA45,mary.b.mack,,,1961-10-24
Rep,Brian,N.,Baird,,,D,WA,3,0,M,,,http://www.baird.house.gov,,,B001229,837,H6WA03135,400011,N00007936,,http://www.opencongress.org/wiki/Brian_Baird,,,,,1956-03-07
Sen,Tammy,,Baldwin,,,D,WI,Junior Seat,1,F,202-224-5653,202-225-6942,http://www.baldwin.senate.gov,http://www.baldwin.senate.gov/contact,717 Hart,B001230,3470,H8WI00018,400013,N00004367,SenatorBaldwin,http://www.opencongress.org/wiki/Tammy_Baldwin,http://youtube.com/witammybaldwin,7357041101,,I,1962-02-11
Rep,Shelley,,Berkley,,,D,NV,1,0,F,202-225-5965,202-225-3119,http://berkley.house.gov,http://berkley.house.gov/contact/email.html,405 Cannon House Office Building,B001231,22744,H8NV01071,400024,N00009818,repberkley,http://www.opencongress.org/wiki/Shelley_Berkley,http://youtube.com/ShelleyBerkley,shelleyberkley,,,1951-01-20
Rep,Judy,,Biggert,,,R,IL,13,0,F,202-225-3515,202-225-9420,http://judybiggert.house.gov,http://judybiggert.house.gov/ContactJudy.aspx,2113 Rayburn House Office Building,B001232,6298,H8IL13069,400027,N00004762,JudyBiggert,http://www.opencongress.org/wiki/Judy_Biggert,http://youtube.com/JudyBiggert,JudyBiggert,,,1937-08-15
Sen,Evan,,Bayh,,,D,IN,Junior Seat,0,M,,,http://bayh.senate.gov,,,B001233,22418,S8IN00049,300006,N00003762,,http://www.opencongress.org/wiki/Evan_Bayh,http://youtube.com/SenEvanBayh,,,III,1955-12-26
Rep,Joe,,Baca,,,D,CA,43,0,M,202-225-6161,202-225-8671,http://www.house.gov/baca,http://www.house.gov/baca/zipauth.shtml,2366 Rayburn House Office Building,B001234,8039,H6CA42099,400009,N00007089,RepJoeBaca,http://www.opencongress.org/wiki/Joe_Baca,http://youtube.com/RepJoeBaca,BacaCA43,,,1947-01-23
Rep,Henry,E.,Brown,Jr.,,R,SC,1,0,M,,,http://brown.house.gov,,,B001235,3993,H0SC01071,400049,N00002428,,http://www.opencongress.org/wiki/Henry_Brown,http://youtube.com/CongressmanBrown,,,,1935-12-20
Sen,John,N.,Boozman,,,R,AR,Junior Seat,1,M,202-224-4843,202-228-1371,http://www.boozman.senate.gov,http://www.boozman.senate.gov/public/index.cfm/e-mail-me,320 Hart Senate Office Building,B001236,27958,H2AR03176,400040,N00013873,JohnBoozman,http://www.opencongress.org/wiki/John_Boozman,http://youtube.com/BoozmanPressOffice,7686715735,,III,1950-12-10
Rep,James,Gresham,Barrett,,J. Gresham,R,SC,3,0,M,,,http://www.house.gov/barrett,,,B001239,14577,H2SC03057,400016,N00013837,greshambarrett,http://www.opencongress.org/wiki/J._Gresham_Barrett,http://youtube.com/Repgreshambarrett,,,,1961-02-14
Rep,Timothy,H.,Bishop,,,D,NY,1,1,M,202-225-3826,202-225-3143,http://timbishop.house.gov,"http://timbishop.house.gov/?sectionid=96&amp;sectiontree=7,96",306 Cannon House Office Building,B001242,44518,H2NY01067,400031,N00025413,TimBishopNY,http://www.opencongress.org/wiki/Timothy_Bishop,http://youtube.com/timbishop01,7940339401,,,1950-06-01
Rep,Marsha,W.,Blackburn,,,R,TN,7,1,F,202-225-2811,202-225-3004,http://blackburn.house.gov,http://blackburn.house.gov/contactform/,217 Cannon House Office Building,B001243,25186,H2TN06030,400032,N00003105,MarshaBlackburn,http://www.opencongress.org/wiki/Marsha_Blackburn,http://youtube.com/RepMarshaBlackburn,6470828395,,,1952-06-06
Rep,Jo,Robins,Bonner,Jr.,Jo,R,AL,1,0,M,202-225-4931,202-225-0562,http://bonner.house.gov,https://forms.house.gov/bonner/webforms/issue_subscribe.html,2236 Rayburn House Office Building,B001244,27522,H2AL01077,400038,N00025330,RepJoBonner,http://www.opencongress.org/wiki/Josiah_Bonner,http://youtube.com/JoBonner,49704847429,,,1959-11-19
Del,Madeleine,Z.,Bordallo,,,D,GU,0,1,F,202-225-1188,202-226-0341,http://bordallo.house.gov,http://bordallo.house.gov/contact-me,2441 Rayburn House Office Building,B001245,1751,H2GU00033,400041,N00024866,CandiceMiller,http://www.opencongress.org/wiki/Madeline_Bordallo,,161729837225622,,,1933-05-31
Rep,Virginia,,Brown-Waite,,Ginny,R,FL,5,0,F,,,http://www.house.gov/brown-waite,,,B001247,8077,H2FL05127,400051,N00024777,,http://www.opencongress.org/wiki/Virginia_Brown-Waite,http://youtube.com/RepGinnyBrownWaite,,,,1943-10-05
Rep,Michael,C.,Burgess,,,R,TX,26,1,M,202-225-7772,202-225-2919,http://burgess.house.gov,https://forms.house.gov/wyr/welcome.shtml,2336 Rayburn House Office Building,B001248,50120,H2TX26093,400052,N00025219,MichaelCBurgess,http://www.opencongress.org/wiki/Michael_Burgess,http://youtube.com/michaelcburgessmd,6916472567,,,1950-12-23
Rep,Rob,,Bishop,,,R,UT,1,1,M,202-225-0453,202-225-5857,http://robbishop.house.gov,http://robbishop.house.gov/ZipAuth.aspx,123 Cannon House Office Building,B001250,50544,H2UT01094,400029,N00025292,RepRobBishop,http://www.opencongress.org/wiki/Rob_Bishop,http://youtube.com/CongressmanBishop,RepRobBishop,,,1951-07-13
Rep,George,K.,Butterfield,Jr.,G.K.,D,NC,1,1,M,202-225-3101,202-225-3354,http://butterfield.house.gov,https://butterfield.house.gov/email-congressman-butterfield,2305 Rayburn House Office Building,B001251,41077,H4NC01046,400616,N00027035,GKButterfield,http://www.opencongress.org/wiki/George_Butterfield,http://youtube.com/GKBNC01,274687979233940,,,1947-04-27
Rep,John,,Barrow,,,D,GA,12,1,M,202-225-2823,202-225-3377,http://barrow.house.gov,http://barrow.house.gov/contact/email-me,2202 Rayburn House Office Building,B001252,31780,H4GA12010,400628,N00026080,RepJohnBarrow,http://www.opencongress.org/wiki/John_Barrow,http://youtube.com/RepJohnBarrow,285483767395,,,1955-10-31
Rep,Melissa,L.,Bean,,,D,IL,8,0,F,,,http://www.house.gov/bean,,,B001253,33448,H2IL08088,400631,N00024875,,http://www.opencongress.org/wiki/Melissa_Bean,,,,,1962-01-22
Rep,Dan,Daniel,Boren,,Dan,D,OK,2,0,M,202-225-2701,202-225-3038,http://www.house.gov/boren,http://www.house.gov/boren/emailsignup.shtml,2447 Rayburn House Office Building,B001254,46182,H4OK02089,400645,N00026481,,http://www.opencongress.org/wiki/David_Daniel_Boren,http://youtube.com/CongressmanBoren,,,,1973-08-02
Rep,Charles,W.,Boustany,Jr.,,R,LA,3,1,M,202-225-2031,202-225-5724,http://www.house.gov/boustany,https://boustanyforms.house.gov/contact-me,1431 Longworth House Office Building,B001255,35514,H4LA07029,400636,N00026595,RepBoustany,http://www.opencongress.org/wiki/Charles_Boustany,http://youtube.com/boustanyla07,197407646951718,,,1956-02-21
Rep,Michele,Marie,Bachmann,,,R,MN,6,1,F,202-225-2331,202-225-6475,http://bachmann.house.gov,https://bachmann.house.gov/contact/email-michele,2417 Rayburn House Office Building,B001256,54675,H6MN06074,412216,N00027493,MicheleBachmann,http://www.opencongress.org/wiki/Michele_Bachmann,http://youtube.com/RepMicheleBachmann,7658849357,,,1956-04-06
Rep,Gus,Michael,Bilirakis,,Gus,R,FL,12,1,M,202-225-5755,202-225-4085,http://bilirakis.house.gov,http://bilirakis.house.gov/index.php?option=com_content&amp;task=view&amp;id=212&amp;Itemid=44,2313 Rayburn House Office Building,B001257,17318,H6FL09070,412250,N00027462,RepGusBilirakis,http://www.opencongress.org/wiki/Gus_Michael_Bilirakis,http://youtube.com/RepGusBilirakis,135445766485586,,,1963-02-08
Rep,Nancy,E.,Boyda,,,D,KS,2,0,F,,,http://boyda.house.gov,,,B001258,34790,H4KS02107,412210,N00026434,,http://www.opencongress.org/wiki/Nancy_Boyda,,,,,1955-08-02
Rep,Bruce,L.,Braley,,,D,IA,1,1,M,202-225-2911,202-225-6666,http://braley.house.gov,http://braley.house.gov/contact,2263 Rayburn House Office Building,B001259,57382,H6IA01098,412208,N00027464,BruceBraley,http://www.opencongress.org/wiki/Bruce_Braley,http://youtube.com/repbrucebraley,178887452188843,,,1957-10-30
Rep,Vern,,Buchanan,,,R,FL,16,1,M,202-225-5015,202-226-0828,http://buchanan.house.gov,https://forms.house.gov/buchanan/webforms/contact-new.html,2104 Rayburn House Office Building,B001260,66247,H6FL13148,412196,N00027626,VernBuchanan,http://www.opencongress.org/wiki/Vern_Buchanan,http://youtube.com/vernbuchanan,67106719910,,,1951-05-08
Sen,John,A.,Barrasso,,,R,WY,Junior Seat,1,M,202-224-6441,202-224-1724,http://www.barrasso.senate.gov,http://www.barrasso.senate.gov/public/index.cfm?FuseAction=ContactUs.ContactForm,307 Dirksen Senate Office Building,B001261,52662,S6WY00068,412251,N00006236,SenJohnBarrasso,http://www.opencongress.org/wiki/John_Barrasso,http://youtube.com/barrassowyo,21146775942,,I,1952-07-21
Rep,Paul,C.,Broun,Jr.,,R,GA,10,1,M,202-225-4101,202-226-0776,http://broun.house.gov,http://broun.house.gov/contact/,2437 Rayburn House Office Building,B001262,70001,H8GA10049,412252,N00028986,RepPaulBrounMD,http://www.opencongress.org/wiki/Paul_Broun,http://youtube.com/RepPaulBroun,123908980957273,,,1946-05-14
Rep,John,A.,Boccieri,,,D,OH,16,0,M,,,http://boccieri.house.gov,,,B001263,45694,H8OH16058,412266,N00029161,,http://www.opencongress.org/wiki/John_Boccieri,,,,,1969-10-05
Rep,Bobby,,Bright,,,D,AL,2,0,M,,,http://www.bright.house.gov,,,B001264,104839,H8AL02130,412267,N00029838,,http://www.opencongress.org/wiki/Bobby_Bright,,,,,1952-07-21
Sen,Mark,,Begich,,,D,AK,Junior Seat,1,M,202-224-3004,202-224-2354,http://www.begich.senate.gov,http://www.begich.senate.gov/public/index.cfm?p=EmailSenator,111 Russell Senate Office Building,B001265,79426,S8AK00090,412326,N00029901,SenatorBegich,http://www.opencongress.org/wiki/Mark_Begich,http://youtube.com/USSenatorMarkBegich,121360477876652,,II,1962-03-30
Sen,Roland,W.,Burris,,,D,IL,Junior Seat,0,M,,,http://burris.senate.gov/,,,B001266,18168,S4IL00057,412328,N00015389,rolandwburris,http://www.opencongress.org/wiki/Roland_Burris,,,,III,1937-08-03
Sen,Michael,F.,Bennet,,,D,CO,Junior Seat,1,M,202-224-5852,202-228-5036,http://www.bennet.senate.gov,http://www.bennet.senate.gov/contact/,458 Russell Senate Office Building,B001267,110942,S0CO00211,412330,N00030608,SenBennetCo,http://www.opencongress.org/wiki/Michael_Bennet,http://youtube.com/SenatorBennet,97172997732,,III,1964-11-28
Sen,Scott,P.,Brown,,,R,MA,Junior Seat,0,M,202-224-4543,,http://scottbrown.senate.gov,http://www.scottbrown.senate.gov/public/index.cfm/emailscottbrown,359 Dirksen Senate Office Building,B001268,18919,S0MA00109,412384,N00031174,USSenScottBrown,http://www.opencongress.org/wiki/Scott_Brown,http://youtube.com/ussenatorscottbrown,141799555838816,,I,1959-09-12
Rep,Lou,,Barletta,,,R,PA,11,1,M,202-225-6511,202-225-0764,http://barletta.house.gov,"https://barletta.house.gov/index.cfm?sectionid=58&amp;sectiontree=2,58",115 Cannon House Office Building,B001269,47143,H2PA11098,412469,N00025495,RepLouBarletta,http://www.opencongress.org/wiki/Lou_Barletta,http://youtube.com/reploubarletta,192357174108435,,,1956-01-28
